,time,instance_events_type,collection_id,scheduling_class,collection_type,priority,alloc_collection_id,instance_index,machine_id,resource_request
1277,2.01726E+12,0,2.36368E+11,0,0,0,0,53444,20054136,"{'cpus': 0.0081024169921875, 'memory': 0.003612518310546875}"
1278,7.98294E+11,3,3.46787E+11,1,0,117,0,13181,10254021769,"{'cpus': 0.0081024169921875, 'memory': 0.0014705657958984375}"
1279,8.17826E+11,3,4.60949E+11,1,0,103,0,2479,16522019343,"{'cpus': 0.0008802413940429688, 'memory': 0.0013904571533203125}"
1280,2.59166E+12,2,3.2803E+11,0,0,0,0,11173,1.57005E+11,"{'cpus': 0.00566864013671875, 'memory': 0.00262451171875}"
1281,1.5111E+12,2,4.94567E+11,2,0,107,0,1359,30734147622,"{'cpus': 0.00958251953125, 'memory': 0.01080322265625}"
1282,2.56715E+12,2,7.48934E+11,2,0,200,0,798,84352496325,"{'cpus': 0.013214111328125, 'memory': 0.01171875}"
1283,2.66036E+11,0,1.16647E+11,1,0,200,0,17,2022777840,"{'cpus': 0.00113677978515625, 'memory': 0.00650787353515625}"
1284,1.5076E+11,6,3.76863E+11,0,1,200,0,36,96916974494,"{'cpus': 0.00704193115234375, 'memory': 0.003509521484375}"
1285,1.68612E+12,6,2.28864E+11,2,1,360,0,50,1.79609E+11,"{'cpus': 0.104736328125, 'memory': 0.0390625}"
1286,1.92817E+12,3,39516992187,2,0,0,0,3278,1128201798,"{'cpus': 0.002674102783203125, 'memory': 0.00026607513427734375}"
1287,1.53999E+12,0,1.98451E+11,3,0,200,0,793,1.57175E+11,"{'cpus': 0.00405120849609375, 'memory': 0.0123748779296875}"
1288,1.97358E+12,0,2.36368E+11,0,0,0,0,89591,11745069621,"{'cpus': 0.0081024169921875, 'memory': 0.003612518310546875}"
1289,1.19912E+11,0,25911621841,2,0,0,0,2498,2.3048E+11,"{'cpus': 0.00252532958984375, 'memory': 0.000286102294921875}"
1290,7.10462E+11,0,2.94545E+11,1,0,103,0,8847,1538938041,"{'cpus': 0.0066070556640625, 'memory': 0.00521087646484375}"
1291,2.00376E+12,2,7.64746E+11,0,0,0,0,35661,295452572,"{'cpus': 0.0081024169921875, 'memory': 0.003612518310546875}"
1292,1.87665E+12,3,2.36368E+11,0,0,0,0,356,29953392219,"{'cpus': 0.016204833984375, 'memory': 0.002605438232421875}"
1293,1.12275E+12,3,2.88497E+11,3,1,200,0,9064,77113473700,"{'cpus': 0.0081024169921875, 'memory': 0.00386810302734375}"
1294,1.54886E+12,3,3.57677E+11,2,0,360,2.71642E+11,137,10048590094,"{'cpus': 0.020050048828125, 'memory': 0.0013027191162109375}"
1295,1.82019E+12,2,18257359877,3,0,200,18214828183,459,32354299905,"{'cpus': 0.0, 'memory': 0.0018463134765625}"
1296,2.56517E+12,0,2.7643E+11,2,0,360,2.21495E+11,907,2.99151E+11,"{'cpus': 0.00604248046875, 'memory': 0.0013027191162109375}"
1297,1.45545E+12,6,7.55687E+11,0,0,105,0,912,7365351597,"{'cpus': 0.00662994384765625, 'memory': 0.0041961669921875}"
1298,1.88314E+12,3,4.96653E+11,1,0,103,0,1463,16457601732,"{'cpus': 0.003787994384765625, 'memory': 0.009918212890625}"
1299,7.23623E+11,1,3.46556E+11,1,0,103,0,13122,3.00751E+11,"{'cpus': 0.04119873046875, 'memory': 0.0104217529296875}"
1300,1.91992E+12,2,2.3411E+11,1,0,117,0,10134,34191169602,"{'cpus': 0.00566864013671875, 'memory': 0.0015621185302734375}"
1301,9.78888E+11,3,7.96037E+11,0,0,0,0,22661,13235388128,"{'cpus': 0.00566864013671875, 'memory': 0.00262451171875}"
1302,2.1274E+12,3,3.23371E+11,0,0,0,0,4529,559909846,"{'cpus': 0.00405120849609375, 'memory': 0.00390625}"
1303,0,2,1.46426E+11,3,0,200,1.46426E+11,50,154090127,"{'cpus': 0.04400634765625, 'memory': 0.00771331787109375}"
1304,0,2,3.15269E+11,1,0,117,0,177,17171480908,"{'cpus': 0.0081024169921875, 'memory': 0.0014705657958984375}"
1305,1.30086E+12,3,1.28074E+11,2,0,0,0,5255,102962956,"{'cpus': 0.00223541259765625, 'memory': 0.00021457672119140625}"
1306,1.36267E+12,6,7.54919E+11,0,0,105,0,2437,67388383362,"{'cpus': 0.0032196044921875, 'memory': 0.00238800048828125}"
1307,0,2,2.7829E+11,1,0,200,0,279,86172253070,"{'cpus': 0.00647735595703125, 'memory': 0.00521087646484375}"
1308,1.7691E+11,2,7.7472E+11,2,0,360,6.98303E+11,688,5578702689,"{'cpus': 0.01593017578125, 'memory': 0.0013027191162109375}"
1309,8.08764E+11,3,35325365885,3,0,200,35325365859,201,10586769735,"{'cpus': 0.013214111328125, 'memory': 0.003879547119140625}"
1310,1.19504E+12,0,1.98451E+11,3,0,200,0,714,29604513997,"{'cpus': 0.00405120849609375, 'memory': 0.0123748779296875}"
